Node_A,Node_B,Distance,Similarity
Cordia_V,Cordia_L,0.0314,0.9686
Magnolia,Liriodendron,0.0474,0.9526
Afzelia,Ormosia,0.0615,0.9385
Magnolia,Salix,0.0628,0.9372
Fraxinus,Robinia,0.0639,0.9361
Afzelia,Cedrelinga,0.0769,0.9231
Diospyros_S,Juglans_N,0.1053,0.8947
Prunus_S,Scottellia,0.1082,0.8918
Cordia_V,Anisoptera,0.1094,0.8906
Cordia_V,Swietenia,0.1128,0.8872
Afzelia,Cordia_L,0.1179,0.8821
Prunus_S,Fagus,0.1238,0.8762
Castanea,Robinia,0.1273,0.8727
Carpinus,Fagus,0.1337,0.8663
Swietenia,Heritiera,0.1385,0.8615
Quararibea,Scottellia,0.1422,0.8578
Dialium,Gonystylus,0.1553,0.8447
Dialium,Pterocarpus,0.1579,0.8421
Vochysia,Pterocarpus,0.1627,0.8373
Paulownia,Asimina,0.1652,0.8348
Fraxinus,Tectona,0.1689,0.8311
Cladrastis,Gymnocladus,0.1767,0.8233
Curatella,Casuarina,0.18,0.82
Gymnocladus,Asimina,0.183,0.817
Diospyros_S,Cedrela,0.1932,0.8068
Carpinus,Casuarina,0.195,0.805
Carpinus,Quararibea,0.1961,0.8039
Libidibia,Dalbergia_S,0.1971,0.8029
Dialium,Mitragyna,0.199,0.801
Erisma,Pterocarpus,0.2057,0.7943
Dalbergia_S,Pterocarpus,0.2153,0.7847
Dalbergia_S,Pterygota,0.2304,0.7696
Quercus_R,Castanea,0.2576,0.7424
Pterygota,Grevillea,0.2605,0.7395
Carya,Juglans_N,0.2638,0.7362
Carya,Cedrela,0.3021,0.6979
Gallesia,Grevillea,0.3256,0.6744
Fraxinus,Juglans_N,0.3288,0.6712
Juglans_N,Asimina,0.3304,0.6696
