Node_A,Node_B,Distance,Similarity
Acer_S,Acer_H,0.0,1.0
Chrysophyllum,Gambeya,0.0,1.0
Falcataria,Pseudalbizzia,0.0,1.0
Ricinodendron,Hura,0.0,1.0
Myracrodruon,Astronium,0.0,1.0
Juglans_C,Juglans_N,0.0,1.0
Enterolobium,Robrichia,0.0,1.0
Hymenopus,Hirtella,0.0,1.0
Leptobalanus,Parinariopsis,0.0,1.0
Leptobalanus,Licania,0.0,1.0
Pouteria,Labatia,0.0,1.0
Pouteria,Lucuma,0.0,1.0
Nyssa,Liquidambar,0.0,1.0
Moquilea,Parinariopsis,0.0,1.0
Erythrophleum,Robrichia,0.0,1.0
Afzelia,Albizia,0.0153,0.9847
Robrichia,Inga,0.0155,0.9845
Mespilodaphne,Ocotea,0.0156,0.9844
Neea,Aquilaria,0.0157,0.9843
Calycophyllum,Scottellia,0.0159,0.9841
Bobgunnia,Swartzia,0.029,0.971
Gambeya,Tieghemella,0.0299,0.9701
Dalbergia_D,Dalbergia_S,0.0306,0.9694
Brosimum_U,Gonystylus,0.0311,0.9689
Cordia_L,Aniba,0.0312,0.9688
Platanus,Tilia,0.0312,0.9688
Roseodendron,Trema,0.0312,0.9688
Odyendea,Simarouba,0.0314,0.9686
Populus,Salix,0.0314,0.9686
Frangula,Salix,0.0314,0.9686
Magnolia,Liquidambar,0.0316,0.9684
Aesculus,Arbutus,0.0316,0.9684
Frangula,Liquidambar,0.0316,0.9684
Quercus_R,Quercus_W,0.034,0.966
Machaerium_A,Machaerium_C,0.0412,0.9588
Mezilaurus,Myrocarpus,0.0415,0.9585
Alnus,Carpinus,0.0457,0.9543
Albizia,Amburana,0.0459,0.9541
Entandrophragma,Vouacapoua,0.0462,0.9538
Centrolobium,Myrocarpus,0.0464,0.9536
Roseodendron,Aniba,0.0469,0.9531
Aspidosperma_A,Aspidosperma_B,0.0469,0.9531
Jacaranda,Simarouba,0.0471,0.9529
Magnolia,Liriodendron,0.0474,0.9526
Hymenopus,Licania,0.0478,0.9522
Catalpa,Gymnocladus,0.0558,0.9442
Licaria,Ocotea,0.0576,0.9424
Pterygota,Sterculia_WB,0.0583,0.9417
Symphonia,Ficus,0.0585,0.9415
Pouteria,Lecythis,0.0585,0.9415
Gallesia,Avicennia,0.0612,0.9388
Enterolobium,Falcataria,0.0612,0.9388
Albizia,Robrichia,0.0612,0.9388
Gmelina,Cordia_V,0.0615,0.9385
Ormosia,Inga,0.0622,0.9378
Parkia,Schizolobium,0.0622,0.9378
Pericopsis,Vouacapoua,0.0622,0.9378
Aesculus,Oxydendrum,0.0628,0.9372
Populus,Nyssa,0.0628,0.9372
Ulmus_H,Ulmus_A,0.0633,0.9367
Virola,Bicuiba,0.0635,0.9365
Millettia,Ficus,0.0637,0.9363
Fraxinus,Robinia,0.0639,0.9361
Catalpa,Robinia,0.0651,0.9349
Cedrelinga,Parkia,0.0674,0.9326
Catalpa,Sassafras,0.0698,0.9302
Licaria,Cordia_V,0.0733,0.9267
Pseudalbizzia,Schizolobium,0.0765,0.9235
Ulmus_H,Ulmus_S,0.0766,0.9234
Gambeya,Manilkara,0.0769,0.9231
Platanus,Prunus_S,0.0773,0.9227
Carapa,Khaya,0.0773,0.9227
Brosimum_U,Brosimum_A,0.0777,0.9223
Brosimum_U,Jacaranda,0.0777,0.9223
Nesogordonia,Zanthoxylum_A,0.0781,0.9219
Betula,Alstonia_M,0.0789,0.9211
Morus_A,Gymnocladus,0.0791,0.9209
Cariniana,Diospyros_D,0.0821,0.9179
